answer,count
SODA,1
ADAM,1
JAWS,1
TREX,1
BORED,1
IRAQ,1
ACCESSCODE,1
MENU,1
NAOMI,1
SMALL,1
ADA,1
ART,1
ALLEYCAT,1
CRANIUM,1
SAUL,1
LOL,1
BAIL,1
SMORE,1
AMBULANCECHASER,1
MAUVE,1
YEAH,1
ELI,1
MEAL,1
HAIRDYE,1
ALCAPONE,1
IMO,1
LEO,1
SCOLD,1
ALLOT,1
LAVA,1
ALARMCLOCK,1
AVEC,1
LATER,1
ECHO,1
HERS,1
NEWS,1
ROOS,1
STAN,1
CLAM,1
ALLAH,1
ORCA,1
ROMA,1
LEAVE,1
DECO,1
ALBUMCOVER,1
AXEMAN,1
UVEA,1
ACS,1
SIRI,1
LEAPS,1
ABS,1
TUBA,1
LOCAL,1
DOCS,1
MANY,1
NOLAN,1
AROMA,1
ICE,1
ELATE,1
MEDAL,1
LEAH,1
DREW,1
DELLS,1
CHAI,1
MRS,1
LEASH,1
IMAC,1
JIM,1
YUMA,1
ROLLER,1
AREACLOSED,1
LOCO,1
WANDA,1
RELY,1
OCHO,1
SQUAT,1
ERIE,1
TKOS,1
